1,Argentina,ARG
2,France,FRA
3,Brazil,BRA
4,England,ENG
5,Belgium,BEL
6,Croatia,CRO
7,Netherlands,NED
8,Italy,ITA
9,Portugal,POR
10,Spain,ESP
11,USA,USA
12,Mexico,MEX
13,Switzerland,SUI
14,Morocco,MAR
15,Germany,GER
16,Uruguay,URU
17,Colombia,COL
18,Senegal,SEN
19,Denmark,DEN
20,Japan,JPN
21,Peru,PER
22,IR Iran,IRN
23,Sweden,SWE
24,Ukraine,UKR
25,Serbia,SRB
26,Poland,POL
27,Australia,AUS
28,Korea Republic,KOR
29,Austria,AUT
30,Scotland,SCO
31,Tunisia,TUN
32,Chile,CHI
33,Algeria,ALG
34,Egypt,EGY
35,Wales,WAL
36,Hungary,HUN
37,Czechia,CZE
38,Russia,RUS
39,Nigeria,NGA
40,Ecuador,ECU
41,Türkiye,TUR
42,Cameroon,CMR
43,Canada,CAN
44,Norway,NOR
45,Panama,PAN
46,Costa Rica,CRC
47,Slovakia,SVK
48,Romania,ROU
49,Paraguay,PAR
50,Greece,GRE
51,Mali,MLI
52,Côte d'Ivoire,CIV
53,Republic of Ireland,IRL
54,Saudi Arabia,KSA
55,Finland,FIN
56,Burkina Faso,BFA
57,Venezuela,VEN
58,Jamaica,JAM
59,Qatar,QAT
60,Ghana,GHA
61,Slovenia,SVN
62,Bosnia and Herzegovina,BIH
63,South Africa,RSA
64,Northern Ireland,NIR
65,Albania,ALB
66,Cabo Verde,CPV
67,Iceland,ISL
68,North Macedonia,MKD
69,Congo DR,COD
70,Iraq,IRQ
71,Montenegro,MNE
72,United Arab Emirates,UAE
73,Oman,OMA
74,Uzbekistan,UZB
75,El Salvador,SLV
76,Israel,ISR
77,Bulgaria,BUL
78,Georgia,GEO
79,Honduras,HON
80,China PR,CHN
81,Guinea,GUI
82,Jordan,JOR
83,Bolivia,BOL
84,Zambia,ZAM
85,Gabon,GAB
86,Bahrain,BHR
87,Haiti,HAI
88,Curaçao,CUW
89,Luxembourg,LUX
90,Armenia,ARM
91,Equatorial Guinea,EQG
92,Uganda,UGA
93,Benin,BEN
94,Syria,SYR
95,Vietnam,VIE
96,Palestine,PLE
97,Kyrgyz Republic,KGZ
98,Belarus,BLR
99,India,IND
100,Lebanon,LBN
101,Mauritania,MTN
102,Trinidad and Tobago,TRI
103,Aotearoa New Zealand,NZL
104,Kazakhstan,KAZ
105,Kenya,KEN
106,Congo,CGO
107,Guatemala,GUA
108,Madagascar,MAD
109,Kosovo,KOS
110,Tajikistan,TJK
111,Estonia,EST
112,Guinea-Bissau,GNB
113,Thailand,THA
114,Namibia,NAM
115,Korea DPR,PRK
116,Angola,ANG
117,Mozambique,MOZ
118,Cyprus,CYP
119,The Gambia,GAM
120,Sierra Leone,SLE
121,Azerbaijan,AZE
122,Togo,TOG
123,Malawi,MWI
124,Tanzania,TAN
125,Zimbabwe,ZIM
126,Central African Republic,CTA
127,Libya,LBY
128,Niger,NIG
129,Faroe Islands,FRO
130,Comoros,COM
131,Sudan,SDN
132,Antigua and Barbuda,ATG
133,Solomon Islands,SOL
134,Latvia,LVA
135,Philippines,PHI
136,Malaysia,MAS
137,Kuwait,KUW
138,Turkmenistan,TKM
139,Rwanda,RWA
140,Burundi,BDI
141,Nicaragua,NCA
142,Ethiopia,ETH
143,Suriname,SUR
144,Lithuania,LTU
145,St Kitts and Nevis,SKN
146,Eswatini,SWZ
147,Botswana,BOT
148,Liberia,LBR
149,"Hong Kong, China",HKG
150,Indonesia,IDN
151,Lesotho,LES
152,Dominican Republic,DOM
153,Chinese Taipei,TPE
154,Andorra,AND
155,Maldives,MDV
156,Yemen,YEM
157,Afghanistan,AFG
158,Singapore,SGP
159,Papua New Guinea,PNG
160,Myanmar,MYA
161,New Caledonia,NCL
162,Tahiti,TAH
163,Puerto Rico,PUR
164,Moldova,MDA
165,Vanuatu,VAN
166,Barbados,BRB
167,South Sudan,SSD
168,Guyana,GUY
169,Fiji,FIJ
170,St Lucia,LCA
171,Malta,MLT
172,Cuba,CUB
173,Bermuda,BER
174,Grenada,GRN
175,Nepal,NEP
176,Cambodia,CAM
177,Belize,BLZ
178,St Vincent and the Grenadines,VIN
179,Montserrat,MSR
180,Mauritius,MRI
181,Chad,CHA
182,Macau,MAC
183,Mongolia,MNG
184,Dominica,DMA
185,Bhutan,BHU
186,São Tomé and Príncipe,STP
187,Laos,LAO
188,Cook Islands,COK
189,Bangladesh,BAN
190,Brunei Darussalam,BRU
191,Djibouti,DJI
192,Timor-Leste,TLS
193,Cayman Islands,CAY
194,Seychelles,SEY
195,Eritrea,ERI
196,Somalia,SOM
197,Bahamas,BAH
198,Gibraltar,GIB
199,Aruba,ARU
200,Liechtenstein,LIE
201,Pakistan,PAK
202,Turks and Caicos Islands,TCA
203,Guam,GUM
204,Sri Lanka,SRI
205,US Virgin Islands,VIR
206,British Virgin Islands,VGB
207,Anguilla,AIA
208,San Marino,SMR
