name,fiction
Arabic,false
Chinese,false
Czech,false
Danish,false
Dutch,false
Esperanto,false
Finnish,false
French,false
German,false
Greek,false
Haitian Creole,false
Hawaiian,false
Hebrew,false
Hindi,false
Hungarian,false
Indonesian,false
Irish,false
Italian,false
Japanese,false
Korean,false
Latin,false
Māori,false
Navajo,false
Norwegian,false
Polish,false
Portuguese,false
Romanian,false
Russian,false
Scottish Gaelic,false
Spanish,false
Swahili,false
Swedish,false
Tamil,false
Turkish,false
Ukrainian,false
Vietnamese,false
Welsh,false
Yiddish,false
High Valyrian,true
Klingon,true
